REGIÃO;ESTADO;NOME;CODIGO;LATITUDE;LONGITUDE;ALTITUDE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
NE;CE;BARBALHA;A315;-7.30083333;-39.2711111;409.41;;;;;;;;0.0027397260273972;0.0;0.0;0.0054794520547945;0.021917808219178;0.0;0.0;0.0602739726027397;0.0;0.0;0.4520547945205479;0.0;0.0;0.0;0.4465753424657534
N;PA;TOME ACU;A213;-2.59249999;-48.36055555;42.95;;;;;;;;0.021917808219178;0.0163934426229508;0.0493150684931506;0.0;0.1397260273972602;0.0;0.0;0.1150684931506849;0.4493150684931506;0.0081967213114754;0.0;0.0;0.0;0.0;0.0493150684931506
CO;MS;BRASILANDIA;S705;-21.29833333;-52.06888888;345.0;;;;;;;;;;;;;;;;;;;0.0438356164383561;0.421917808219178;1.0;1.0
N;AC;MARECHAL THAUMATURGO;A137;-8.95;-72.78666666;220.98;;;;;;;;;;0.0027397260273972;0.8657534246575342;0.2082191780821917;0.1202185792349726;0.1397260273972602;0.8876712328767123;0.0;0.0464480874316939;0.5205479452054794;0.4904109589041096;0.0958904109589041;0.6174863387978142;0.96986301369863
NE;CE;ACARAU;A360;-3.1211111;-40.08722221;67.15;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.1068493150684931;0.0;0.1666666666666666;0.0;0.0;0.1917808219178082;0.860655737704918;1.0
NE;AL;PIRANHAS;A371;-9.62222221;-37.76722221;187.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.1890410958904109;0.0;0.0054794520547945
NE;RN;APODI;A340;-5.62666666;-37.815;131.41;;;;;;;;0.0520547945205479;0.0;0.0;0.0438356164383561;0.0;0.0;0.021917808219178;0.0;0.210958904109589;0.0027322404371584;0.0;0.0;0.0;0.0027322404371584;0.2767123287671232
CO;DF;BRAZLANDIA;A042;-15.59972221;-48.1311111;1143.0;;;;;;;;;;;;;;;;;;0.0;0.0;0.0054794520547945;0.0;0.0
N;RO;VILHENA;A938;-12.73499999;-60.15777777;583.3;;;;;;;;;0.0027322404371584;0.0082191780821917;0.0438356164383561;0.0;0.0109289617486338;0.0;0.0;0.0082191780821917;0.3087431693989071;0.0;0.0;0.1041095890410958;0.0;0.0
NE;MA;IMPERATRIZ;A225;-5.555723;-47.459794;117.96;;;;;;;;;0.0054644808743169;0.0;0.0;0.0054794520547945;0.0;0.0;0.0054794520547945;0.0;0.0109289617486338;0.0;0.0;0.0;0.0;0.0
