ID;ID_DESCRICAO;ID_PROJETO;LONGITUDE;LATITUDE;FOTO;TIPO_OBSERVACAO;ALTITUDE;IDENTIFICACAO_CAMPO;RELACAO_B_A;COMENTARIO;ESTADO;MUNICIPIO;DATAUM;TIPO_PERFIL;DADO_NOVO;CURADORIA
1;1;1;-46.91666667;-19.66666667;NULL;Perfil completo;1120;AP-21;NULL;NULL;NULL;NULL;NULL;Trincheira;NULL;0
2;2;1;-46.90033132;-19.48364521;NULL;Perfil completo;850;AP-1;NULL;NULL;NULL;NULL;NULL;Trincheira;NULL;0
3;3;1;-46.9;-18.98333333;NULL;Amostra extra;931;E23;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
4;4;1;-49.31666667;-19.8;NULL;Amostra extra;1170;E08;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
5;5;1;-46.68333333;-18.5;NULL;Amostra extra;1030;E49;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
6;6;1;-45.8836185;-18.58363211;NULL;Perfil completo;750;AP-5;NULL;NULL;NULL;NULL;NULL;Barranco;NULL;0
7;7;1;-46.08333333;-18.61666667;NULL;Perfil completo;850;AP-29;NULL;NULL;NULL;NULL;NULL;Corte de estrada;NULL;0
8;8;1;-46.05;-18.68333333;NULL;Perfil completo;770;AP-30;NULL;NULL;NULL;NULL;NULL;Corte de estrada;NULL;0
9;9;1;-46.16666667;-19.78333333;NULL;Amostra extra;970;E01;NULL;NULL;NULL;NULL;NULL;Barranco;NULL;0
10;10;1;-46.6;-18.66666667;NULL;Amostra extra;870;E50;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
11;11;1;-46.6;-19.55;NULL;Amostra extra;950;E37;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
12;12;1;-46.3;-18.65;NULL;Amostra extra;NA;E70;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
13;13;1;-46.26666667;-18.68333333;NULL;Amostra extra;980;E21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
14;14;1;-46.25;-18.68333333;NULL;Perfil completo;950;AP-26;NULL;NULL;NULL;NULL;NULL;Corte de estrada;NULL;0
15;15;1;-46.11666667;-18.68333333;NULL;Amostra extra;800;E76;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
16;16;1;-47.36666667;-18.6;NULL;Amostra extra;900;E57;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
17;17;1;-46.55;-19.56666667;NULL;Amostra extra;940;E38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
18;18;1;-46.16666667;-18.88333333;NULL;Amostra extra;960;E17;NULL;NULL;NULL;NULL;NULL;Corte de estrada;NULL;0
19;19;1;-46.61666667;-18.91666667;NULL;Amostra extra;850;E40;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
20;20;1;-46.6;-19.13333333;NULL;Amostra extra;1208;E43;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
21;21;1;-46.25;-18.93333333;NULL;Amostra extra;1060;E05;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
22;22;1;-46.16666667;-18.98333333;NULL;Amostra extra;1040;E80;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
23;23;1;-45.91666667;-19.2;NULL;Amostra extra;1025;E62;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
24;24;1;-46.03333333;-19.48333333;NULL;Amostra extra;1000;E10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
25;25;1;-46.4;-19.76666667;NULL;Perfil completo;1140;AP-24;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
26;26;1;-45.45;-17.86666667;NULL;Perfil completo;800;AP-9;NULL;NULL;NULL;NULL;NULL;Trincheira;NULL;0
27;27;1;-45.6;-18;NULL;Perfil completo;700;AP-22;NULL;NULL;NULL;NULL;NULL;Trincheira;NULL;0
28;28;1;-46.5;-18.6;NULL;Amostra extra;820;E60;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
29;29;1;-46.33333333;-18.56666667;NULL;Perfil completo;850;AP-16;NULL;NULL;NULL;NULL;NULL;Trincheira;NULL;0
30;30;1;-46.36666667;-19.2;NULL;Amostra extra;850;E39;NULL;NULL;NULL;NULL;NULL;Corte de estrada;NULL;0
31;31;1;-46.85;-19.38333333;NULL;Amostra extra;900;E44;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
32;32;1;-46.28333333;-18.6;NULL;Perfil completo;960;AP-23;NULL;NULL;NULL;NULL;NULL;Trincheira;NULL;0
33;33;1;-46.85;-19.21666667;NULL;Amostra extra;850;E41;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
34;34;1;-46.05;-18.63333333;NULL;Perfil completo;800;AP-10;NULL;NULL;NULL;NULL;NULL;Trincheira;NULL;0
35;35;1;-45.45;-18.23333333;NULL;Amostra extra;730;E13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
36;36;1;-47.76703435;-18.76696515;NULL;Perfil completo;900;AP-6;NULL;NULL;NULL;NULL;NULL;Corte de estrada;NULL;0
37;37;1;-47.95;-18.6;NULL;Amostra extra;850;E02;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
38;38;1;-47.21666667;-19.61666667;NULL;Amostra extra;1050;E78;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
39;39;1;-46.98333333;-19.56666667;NULL;Amostra extra;940;E54;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
40;40;1;-47.31666667;-19.63333333;NULL;Amostra extra;1150;E31;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
41;41;1;-47.51666667;-19.65;NULL;Amostra extra;1030;E25;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
42;42;1;-47.3;-19.85;NULL;Amostra extra;1150;E26;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
43;43;1;-47.43333333;-19.85;NULL;Amostra extra;980;E58;NULL;NULL;NULL;NULL;NULL;Corte de estrada;NULL;0
44;44;1;-46.61666667;-18.8;NULL;Perfil completo;780;AP-11;NULL;NULL;NULL;NULL;NULL;Trincheira;NULL;0
45;45;1;-47.93333333;-19.06666667;NULL;Perfil completo;700;AP-27;NULL;NULL;NULL;NULL;NULL;Corte de estrada;NULL;0
46;46;1;-47.75;-18.76666667;NULL;Amostra extra;890;E19;NULL;NULL;NULL;NULL;NULL;Corte de estrada;NULL;0
47;47;1;-47.68333333;-18.91666667;NULL;Amostra extra;960;E28;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
48;48;1;-47.45;-19.36666667;NULL;Amostra extra;1020;E27;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
49;49;1;-47.00033584;-19.5503128;NULL;Perfil completo;820;AP-12;NULL;NULL;NULL;NULL;NULL;Trincheira;NULL;0
50;50;1;-47.78333333;-18.56666667;NULL;Amostra extra;650;E04;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
51;51;1;-47.5;-19.66666667;NULL;Perfil completo;1000;AP-18;NULL;NULL;NULL;NULL;NULL;Trincheira;NULL;0
52;52;1;-47.13333333;-18.31666667;NULL;Amostra extra;750;E46;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
53;53;1;-47.45;-18.66666667;NULL;Amostra extra;800;E15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
54;54;1;-45.91666667;-17.96666667;NULL;Amostra extra;880;E73;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
55;55;1;-47.38333333;-19.48333333;NULL;Amostra extra;1050;E51;NULL;NULL;NULL;NULL;NULL;Tradagem;NULL;0
56;56;1;-46.95;-19.3;NULL;Amostra extra;900;E06;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0
