Data;REGIAO;ESTADO;CODIGO;NOME;LATITUDE;LONGITUDE;ALTITUDE;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (KJ/m²);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);VENTO, VELOCIDADE HORARIA (m/s)
2019-01-01;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;0.0;1871.9071428571428;34.3;23.6;87.0;45.0;1.9875
2019-01-02;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;7.200000000000001;1405.4428571428573;32.9;22.9;95.0;52.0;2.3458333333333337
2019-01-03;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;0.0;2104.864285714286;35.3;23.2;93.0;38.0;2.8249999999999997
2019-01-04;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;0.6000000000000001;1639.642857142857;35.9;24.5;85.0;36.0;2.125
2019-01-05;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;28.8;839.8315789473683;29.8;21.4;96.0;61.0;2.654166666666667
2019-01-06;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;0.0;1269.4857142857145;31.9;22.9;95.0;51.0;2.6
2019-01-07;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;25.6;481.63571428571424;29.6;22.7;95.0;67.0;2.791666666666666
2019-01-08;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;0.2;1664.8666666666663;33.2;22.3;96.0;47.0;2.5625
2019-01-09;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;7.0;1652.3857142857146;34.9;20.4;89.0;41.0;2.233333333333333
2019-01-10;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;14.4;1756.4400000000005;34.4;18.2;96.0;43.0;2.283333333333333
2019-01-11;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;0.0;1432.7294117647064;33.6;21.2;91.0;41.0;2.2833333333333337
2019-01-12;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;16.8;1081.2055555555555;32.1;20.9;94.0;53.0;2.4791666666666665
2019-01-13;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;0.0;1962.892857142857;34.1;22.7;93.0;40.0;2.1750000000000003
2019-01-14;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;0.0;2036.038461538462;35.8;23.6;89.0;32.0;2.069565217391304
2019-01-15;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;0.0;1862.75;35.6;24.8;85.0;40.0;2.0291666666666672
2019-01-16;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;0.0;2070.1142857142854;36.2;23.9;89.0;33.0;1.9333333333333336
2019-01-17;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;0.0;2033.1571428571428;36.8;24.3;88.0;32.0;1.875
2019-01-18;CO;MS;A709;IVINHEMA;-22.300421;-53.822895;377.36;19.0;1260.7142857142856;33.7;22.4;96.0;46.0;3.058333333333333
