;LATITUDE;LONGITUDE;ALTITUDE;REGIÃO;ESTADO;NOME;CODIGO
2021;-7.30083333;-39.2711111;409.41;NE;CE;BARBALHA;A315
2021;-2.59249999;-48.36055555;42.95;N;PA;TOME ACU;A213
2021;-21.29833333;-52.06888888;345.0;CO;MS;BRASILANDIA;S705
2021;-8.95;-72.78666666;220.98;N;AC;MARECHAL THAUMATURGO;A137
2021;-3.1211111;-40.08722221;67.15;NE;CE;ACARAU;A360
2021;-9.62222221;-37.76722221;187.0;NE;AL;PIRANHAS;A371
2021;-5.62666666;-37.815;131.41;NE;RN;APODI;A340
2021;-15.59972221;-48.1311111;1143.0;CO;DF;BRAZLANDIA;A042
2021;-12.73499999;-60.15777777;583.3;N;RO;VILHENA;A938
2021;-5.555723;-47.459794;117.96;NE;MA;IMPERATRIZ;A225
2021;-14.65;-57.43166666;440.01;CO;MT;TANGARA DA SERRA;A902
2021;-21.66611111;-49.73472221;460.65;SE;SP;LINS;A727
2021;-23.39027777;-53.63583333;381.29;S;PR;ICARAIMA;A824
2021;-18.29138888;-40.73638888;224.0;SE;ES;ECOPORANGA;A631
2021;-30.75055555;-55.40138888;196.0;S;RS;SANTANA DO LIVRAMENTO;A804
2021;-8.092708;-48.478605;200.0;N;TO;COLINAS DO TOCANTINS;A049
2021;-6.975451;-35.718128;573.45;NE;PB;AREIA;A310
2021;-28.53249999;-49.31527777;40.56;S;SC;URUSSANGA;A814
2021;-29.36888888;-50.82722221;830.93;S;RS;CANELA;A879
2021;-8.77666666;-67.33249999;111.98;N;AM;BOCA DO ACRE;A110
2021;-10.537233;-38.996605;431.96;NE;BA;EUCLIDES DA CUNHA;A442
2021;-3.74277777;-43.35222222;104.0;NE;MA;CHAPADINHA;A206
2021;-16.362747;-45.123801;490.29;SE;MG;SAO ROMAO;A547
2021;-22.358052;-49.028877;636.17;SE;SP;BAURU;A705
2021;-20.47555554;-55.78388888;151.35;CO;MS;AQUIDAUANA;A719
2021;-26.819156;-50.98552;944.26;S;SC;CACADOR;A859
2021;-16.96694443;-51.81749999;740.1;CO;GO;CAIAPONIA;A023
2021;-20.10416666;-41.10694444;507.48;SE;ES;AFONSO CLAUDIO;A657
2021;-10.07722221;-56.17916666;291.85;CO;MT;ALTA FLORESTA;A924
2021;-28.226805;-52.403582;680.67;S;RS;PASSO FUNDO;A839
2021;-14.08916666;-46.36638888;830.0;CO;GO;POSSE;A017
2021;-14.01638888;-52.21166666;440.0;CO;MT;AGUA BOA;A908
2021;-19.97999999;-43.95861111;1199.55;SE;MG;BELO HORIZONTE - CERCADINHO;F501
2021;-21.680722;-45.944389;969.0;SE;MG;MACHADO;A567
2021;-23.724501;-46.677501;771.0;SE;SP;SAO PAULO - INTERLAGOS;A771
2021;-9.576389;-49.723333;186.69;N;TO;MARIANOPOLIS DO TO;A041
2021;-14.88638888;-40.80138888;879.38;NE;BA;VITORIA DA CONQUISTA;A414
2021;-20.27083332;-40.30583333;9.0;SE;ES;VITORIA;A612
2021;-23.449501;-54.181858;337.82;CO;MS;ITAQUIRAI;A752
2021;-16.166773;-40.687756;189.11;SE;MG;ALMENARA;A508
2018;-3.02249999;-60.05555555;;N;AM;CRMN MANAUS;S103
2021;-6.65333333;-47.41833332;182.96;NE;MA;ESTREITO;A224
2021;-6.39638888;-39.26888888;221.56;NE;CE;IGUATU;A319
2021;-11.59444444;-46.84722221;727.87;N;TO;DIANOPOLIS;A038
2021;-27.92027777;-53.31805554;614.11;S;RS;PALMEIRA DAS MISSOES;A856
2021;-4.82749999;-48.1736111;203.0;N;PA;RONDON DO PARA;A214
2021;-25.01083333;-50.85388888;803.58;S;PR;IVAI;A818
2021;-8.0911111;-60.38055554;45.0;N;AM;NOVO ARIPUANA;A144
2021;-12.557854;-41.388808;438.09;NE;BA;LENCOIS;A425
2021;-2.23972221;-49.49972221;9.92;N;PA;CAMETA;A236
2021;2.81694443;-60.69083333;82.35;N;RR;BOA VISTA;A135
2021;-20.40333333;-49.96611111;510.37;SE;SP;VOTUPORANGA;A729
2021;-18.80222222;-52.6025;820.82;CO;MS;CHAPADAO DO SUL;A730
2021;-15.06277777;-59.87305554;213.0;CO;MT;VILA BELA DA SANTISSIMA TRINDADE;A922
2021;-26.40638888;-52.85027777;943.57;S;SC;NOVO HORIZONTE;A816
2021;-10.01833332;-42.50027777;385.0;NE;BA;PILAO ARCADO;A449
2021;-7.44138888;-44.34499999;398.83;NE;PI;URUCUI;A346
2021;0.56777777;-50.8236111;21.0;N;AP;ITAUBAL;A251
2021;-18.154779;-47.927614;900.72;CO;GO;CATALAO;A034
2021;-32.53472221;-53.37583332;31.48;S;RS;JAGUARAO;A836
2021;-12.615;-47.87194443;284.96;N;TO;PARANA;A010
2021;-27.39555555;-53.42944443;489.42;S;RS;FREDERICO WESTPHALEN;A854
2021;-8.05805555;-39.0961111;447.0;NE;PE;SALGUEIRO;A370
2021;-23.2236111;-44.72694443;3.0;SE;RJ;PARATI;A619
2021;-6.65027777;-69.8686111;121.54;N;AM;EIRUNEPE;A109
2021;-20.94916666;-48.48999999;790.0;SE;SP;BEBEDOURO;A764
2021;-18.747711;-44.453785;669.48;SE;MG;CURVELO;A538
2021;-10.42916666;-45.17305554;452.0;NE;PI;CORRENTE;A374
2021;-26.08138888;-48.64166666;6.18;S;SC;ITAPOA;A851
